session,start,end,seconds,rc
T-001-a1p0,1785364677,1785364708,31,rc=137
T-005-a1p0,1785364891,1785364937,46,rc=0
T-006-a1p0,1785365052,1785365183,131,rc=0
T-006-a2p0,1785365183,1785365215,32,rc=0
T-009-a1p0,1785365861,1785366024,163,rc=0
T-011-a1p0,1785366313,1785366462,149,rc=0
T-014-a1p0,1785366937,1785367070,133,rc=0
T-015-a1p0,1785367142,1785367219,77,rc=0
T-017-a1p0,1785367421,1785367764,343,rc=0
m5-evaluate-a1p0,1785367898,1785368252,354,rc=0
retro,1785368419,1785368523,104,rc=0
T-003-sfix,1785385731,1785386061,330,rc=0
T-005-a1p0,1785387067,1785387266,199,rc=0
T-005-a2p0,1785387266,1785387643,377,rc=0
T-005-a2p1,1785388543,1785389124,581,rc=0
m5-evaluate-a1p0,1785390044,1785390082,38,rc=0
retro,1785391212,1785391249,37,rc=0
T-002-a1p0,1785393695,1785393831,136,rc=0
T-002-a2p0,1785393831,1785393861,30,rc=0
T-005-a1p0,1785394565,1785394611,46,rc=0
T-007-a1p0,1785395084,1785395319,235,rc=0
T-007-a1p1,1785396219,1785396312,93,rc=0
T-008-a1p0,1785396375,1785396444,69,rc=0
T-011-a1p0,1785397438,1785397533,95,rc=0
m5-evaluate-a1p0,1785397665,1785397730,65,rc=0
retro,1785398222,1785398282,60,rc=0
T-005-sfix,1785399217,1785400119,902,rc=124
m5-evaluate-a1p0,1785401867,1785401928,61,rc=0
retro,1785402133,1785402169,36,rc=0
T-001-a1p0,1785403606,1785403677,71,rc=0
T-002-a1p0,1785403717,1785403770,53,rc=0
T-005-sfix,1785404297,1785404620,323,rc=0
T-007-a1p0,1785405308,1785405776,468,rc=0
T-008-sfix,1785410180,1785410664,484,rc=0
m5-evaluate-a1p0,1785411633,1785411738,105,rc=0
